Task,Alt,Salary,Location,CompanyType,Growth,WorkLife,JobSecurity,Chosen
120,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
121,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
121,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
122,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
122,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
123,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
123,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
124,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
124,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
125,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
125,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
126,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
126,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
127,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
127,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
128,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
128,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
129,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
129,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
130,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
130,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
131,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
131,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
132,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
132,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
133,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
133,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
134,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
134,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
135,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
135,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
136,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
136,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
137,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
137,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
138,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
138,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
139,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
139,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
140,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
140,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
141,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
141,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
142,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
142,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
143,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
143,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
144,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
144,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
145,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
145,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
146,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
146,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
147,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
147,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
148,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
148,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
149,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
149,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
150,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
150,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
151,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
151,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
152,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
152,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
153,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
153,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
154,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
154,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
155,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
155,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
156,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
156,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
157,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
157,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
158,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
158,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
159,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
159,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
160,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
160,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
161,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
161,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
162,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
162,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
163,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
163,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
164,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
164,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
165,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
165,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
166,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
166,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
167,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
167,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
168,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
168,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
169,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
169,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
170,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
170,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
171,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
171,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
172,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
172,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
173,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
173,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
174,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
174,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
175,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
175,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
176,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
176,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
177,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
177,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
178,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
178,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
179,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
179,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
180,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
180,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
181,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
181,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
182,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
182,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
183,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
183,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
184,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
184,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
185,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
185,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
186,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
186,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
187,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
187,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
188,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
188,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
189,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
189,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
190,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
190,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
191,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,0
191,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,1
192,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
192,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
193,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
193,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
194,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
194,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
195,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
195,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
196,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
196,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
197,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
197,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
198,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
198,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
199,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
199,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
200,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
200,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
201,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
201,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
202,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
202,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
203,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
203,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
204,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
204,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
205,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
205,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
206,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
206,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
207,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
207,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
208,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
208,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
209,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
